# Variable Rate Drawdown Test Data
# t (hours) 	Pwf (psi) 	q (STB/D)
  0.000 	4412 	250
  0.105 	4332 	180
  0.151 	4302 	177
  0.217 	4264 	174
  0.313 	4216 	172
  0.450 	4160 	169
  0.648 	4099 	166
  0.934 	4039 	163
  1.340 	3987 	161
  1.940 	3952 	158
  2.790 	3933 	155
  4.010 	3926 	152
  5.780 	3926 	150
  8.320 	3927 	147
  9.990 	3928 	145
 14.400 	3931 	143
 20.700 	3934 	140
 29.800 	3937 	137
 43.000 	3941 	134
 61.800 	3944 	132
 74.200 	3946 	130
 89.100 	3948 	129
107.000 	3950 	127
128.000 	3952 	126
154.000 	3954 	125
185.000 	3956 	123
